Date, Open, High, Low, Close, Volume
05/03/24, 2.50, 2.50, 2.40, 2.50, 1937753
05/02/24, 2.40, 2.50, 2.40, 2.40, 1219636
04/30/24, 2.50, 2.50, 2.40, 2.50, 1552198
04/29/24, 2.50, 2.50, 2.40, 2.40, 364029
04/26/24, 2.50, 2.50, 2.40, 2.50, 1700404
04/25/24, 2.50, 2.50, 2.30, 2.40, 5517281
04/24/24, 2.50, 2.60, 2.40, 2.50, 12640930
04/22/24, 2.30, 2.50, 2.30, 2.40, 4800451
04/19/24, 2.40, 2.40, 2.30, 2.30, 3181955
04/18/24, 2.40, 2.40, 2.30, 2.40, 542869
04/17/24, 2.30, 2.40, 2.30, 2.30, 257331
04/16/24, 2.40, 2.40, 2.30, 2.40, 389598
04/15/24, 2.50, 2.50, 2.40, 2.40, 2608744
04/10/24, 2.30, 2.50, 2.30, 2.40, 3322984
04/09/24, 2.30, 2.40, 2.30, 2.40, 2333132
04/08/24, 2.30, 2.40, 2.30, 2.30, 323189
04/05/24, 2.30, 2.40, 2.20, 2.30, 6890798
04/04/24, 2.30, 2.30, 2.20, 2.30, 2613015
04/03/24, 2.30, 2.30, 2.20, 2.20, 343700
04/02/24, 2.20, 2.30, 2.20, 2.20, 1124569
04/01/24, 2.30, 2.30, 2.20, 2.20, 102695
03/28/24, 2.30, 2.30, 2.20, 2.20, 1798597
03/27/24, 2.30, 2.30, 2.20, 2.30, 57524
03/26/24, 2.30, 2.30, 2.20, 2.30, 34666
03/25/24, 2.20, 2.30, 2.20, 2.20, 149369
03/22/24, 2.20, 2.30, 2.10, 2.20, 322837
03/21/24, 2.30, 2.30, 2.20, 2.20, 387051
03/20/24, 2.20, 2.30, 2.20, 2.20, 985588
03/19/24, 2.20, 2.30, 2.20, 2.20, 655816
03/18/24, 2.20, 2.30, 2.20, 2.20, 612292
03/15/24, 2.30, 2.30, 2.20, 2.20, 757671
03/14/24, 2.20, 2.30, 2.10, 2.20, 3043449
03/13/24, 2.20, 2.20, 2.10, 2.20, 385940
03/12/24, 2.20, 2.20, 2.10, 2.20, 644297
03/11/24, 2.20, 2.20, 1.90, 2.20, 18640590
03/07/24, 2.30, 2.30, 1.90, 2.10, 10949210
03/06/24, 2.30, 2.30, 2.20, 2.30, 70627
03/05/24, 2.30, 2.30, 2.20, 2.30, 559470
03/04/24, 2.20, 2.30, 2.20, 2.20, 123758
03/01/24, 2.20, 2.30, 2.20, 2.20, 471024
02/29/24, 2.20, 2.30, 2.20, 2.20, 247867
02/28/24, 2.30, 2.30, 2.20, 2.20, 445388
02/27/24, 2.20, 2.30, 2.20, 2.20, 177299
02/26/24, 2.20, 2.30, 2.20, 2.30, 58328
02/22/24, 2.20, 2.30, 2.20, 2.20, 155446
02/21/24, 2.20, 2.30, 2.20, 2.20, 665149
02/20/24, 2.20, 2.30, 2.20, 2.30, 3849
02/19/24, 2.20, 2.30, 2.20, 2.30, 14564
02/16/24, 2.20, 2.30, 2.20, 2.20, 16314
02/15/24, 2.20, 2.30, 2.20, 2.20, 616124
02/14/24, 2.30, 2.30, 2.20, 2.20, 79293
02/13/24, 2.20, 2.30, 2.20, 2.20, 45677
02/12/24, 2.30, 2.30, 2.20, 2.20, 1080001
02/09/24, 2.20, 2.30, 2.20, 2.30, 39321
02/08/24, 2.30, 2.30, 2.20, 2.30, 63458
02/07/24, 2.20, 2.30, 2.20, 2.20, 74298
02/06/24, 2.20, 2.30, 2.20, 2.30, 8054
02/02/24, 2.20, 2.30, 2.20, 2.30, 59784
02/01/24, 2.30, 2.30, 2.20, 2.20, 4101
01/31/24, 2.30, 2.30, 2.20, 2.30, 22184
01/30/24, 2.20, 2.30, 2.20, 2.30, 1640682
01/29/24, 2.20, 2.30, 2.10, 2.20, 475550
01/26/24, 2.20, 2.30, 2.20, 2.20, 10808
01/24/24, 2.30, 2.30, 2.10, 2.20, 442831
01/23/24, 2.30, 2.30, 2.20, 2.20, 172077
01/22/24, 2.20, 2.20, 2.20, 2.20, 214533
01/19/24, 2.30, 2.30, 2.20, 2.20, 141606
01/18/24, 2.30, 2.30, 2.30, 2.30, 21008
01/17/24, 2.20, 2.30, 2.20, 2.20, 1582134
01/16/24, 2.20, 2.30, 2.20, 2.20, 87069
01/12/24, 2.30, 2.30, 2.20, 2.30, 23641
01/11/24, 2.30, 2.30, 2.20, 2.20, 12987
01/10/24, 2.30, 2.30, 2.20, 2.30, 60428
01/09/24, 2.20, 2.30, 2.20, 2.20, 23265
01/08/24, 2.20, 2.30, 2.20, 2.20, 162145
01/05/24, 2.20, 2.30, 2.20, 2.20, 740897
01/04/24, 2.30, 2.30, 2.20, 2.20, 108995
01/03/24, 2.30, 2.30, 2.20, 2.20, 392504
01/02/24, 2.20, 2.30, 2.20, 2.20, 208303
12/29/23, 2.30, 2.30, 2.20, 2.30, 168364
12/28/23, 2.20, 2.30, 2.20, 2.30, 1978870
12/27/23, 2.30, 2.30, 2.20, 2.20, 1582099
12/22/23, 2.30, 2.30, 2.20, 2.20, 205526
12/21/23, 2.20, 2.30, 2.20, 2.30, 56681
12/20/23, 2.30, 2.30, 2.20, 2.20, 239206
12/19/23, 2.30, 2.30, 2.20, 2.30, 315317
12/18/23, 2.30, 2.30, 2.20, 2.20, 37944
12/15/23, 2.20, 2.40, 2.20, 2.30, 1639558
12/14/23, 2.30, 2.30, 2.20, 2.20, 29643
12/13/23, 2.30, 2.30, 2.20, 2.20, 77405
12/12/23, 2.30, 2.30, 2.20, 2.30, 172390
12/11/23, 2.20, 2.30, 2.20, 2.30, 1130832
12/08/23, 2.20, 2.30, 2.20, 2.20, 66214
12/07/23, 2.30, 2.30, 2.20, 2.20, 26009
12/06/23, 2.30, 2.30, 2.10, 2.20, 1952636
12/05/23, 2.20, 2.30, 2.20, 2.20, 2800991
12/04/23, 2.30, 2.30, 2.20, 2.20, 1490801
12/01/23, 2.30, 2.30, 2.20, 2.30, 28902
11/30/23, 2.30, 2.30, 2.20, 2.30, 26863
11/29/23, 2.20, 2.30, 2.20, 2.30, 938542
11/28/23, 2.20, 2.20, 2.10, 2.20, 409459
11/27/23, 2.30, 2.30, 2.10, 2.20, 1199728
11/24/23, 2.30, 2.30, 2.20, 2.30, 49878
11/23/23, 2.30, 2.40, 2.20, 2.30, 2548882
