Date, Open, High, Low, Close, Volume
05/03/24, 115.00, 115.25, 114.00, 115.00, 563129
05/02/24, 115.00, 115.75, 114.25, 115.00, 511919
04/30/24, 116.75, 116.75, 114.00, 115.00, 346966
04/29/24, 115.00, 116.75, 115.00, 116.25, 1752342
04/26/24, 110.00, 114.75, 110.00, 114.50, 732274
04/25/24, 106.00, 110.75, 106.00, 110.00, 2570973
04/24/24, 106.00, 106.50, 105.50, 106.00, 469057
04/22/24, 104.50, 107.00, 104.00, 106.00, 554991
04/19/24, 104.50, 105.50, 102.50, 104.50, 346831
04/18/24, 105.75, 107.00, 105.00, 105.50, 707780
04/17/24, 104.00, 107.50, 100.75, 105.75, 500653
04/16/24, 109.00, 110.00, 102.00, 103.75, 470331
04/15/24, 111.50, 112.00, 108.25, 109.25, 380613
04/10/24, 110.00, 112.25, 110.00, 111.50, 747154
04/09/24, 110.00, 110.25, 106.50, 110.00, 1374125
04/08/24, 106.25, 111.00, 106.25, 110.00, 1733256
04/05/24, 100.00, 106.50, 99.80, 105.25, 3148869
04/04/24, 97.40, 100.50, 97.10, 99.80, 828999
04/03/24, 95.00, 97.50, 94.70, 96.90, 1291170
04/02/24, 95.00, 96.00, 94.50, 94.80, 370795
04/01/24, 95.70, 95.70, 91.80, 94.50, 373675
03/28/24, 94.43, 96.78, 94.43, 95.90, 1687169.61560393
03/27/24, 94.43, 95.21, 93.94, 94.43, 221091.098523182
03/26/24, 92.27, 94.43, 92.27, 93.84, 352238.59848902
03/25/24, 93.25, 93.25, 92.76, 92.96, 11263.4524409029
03/22/24, 92.07, 93.25, 91.68, 93.25, 286687.261309439
03/21/24, 92.47, 92.56, 91.78, 92.07, 117723.249530439
03/20/24, 93.05, 93.05, 92.27, 92.66, 42476.3373797942
03/19/24, 93.54, 93.54, 92.27, 92.37, 174486.730274128
03/18/24, 93.15, 93.74, 92.76, 93.35, 186241.22686088
03/15/24, 93.15, 93.25, 92.76, 92.96, 66090.2632234707
03/14/24, 92.27, 93.15, 92.27, 92.86, 39770.50075868
03/13/24, 92.27, 92.56, 91.29, 92.27, 174194.345066952
03/12/24, 92.76, 92.76, 90.89, 92.27, 180836.684965169
03/11/24, 90.31, 93.05, 90.31, 92.27, 304007.264470418
03/07/24, 90.80, 90.80, 89.32, 90.21, 103763.129342514
03/06/24, 88.44, 90.31, 88.44, 89.23, 61047.3824725238
03/05/24, 86.97, 89.72, 86.38, 88.34, 72144.7764159712
03/04/24, 87.36, 87.36, 86.38, 86.77, 12127.3641331863
03/01/24, 88.34, 88.34, 86.87, 87.07, 10234.5010149521
02/29/24, 88.73, 88.73, 88.24, 88.34, 2218068.8196068
02/28/24, 89.32, 89.32, 88.54, 88.73, 36207.8837917989
02/27/24, 89.52, 89.52, 88.64, 89.32, 464645.938573309
02/26/24, 89.52, 91.19, 89.32, 89.32, 56323.3747872428
02/22/24, 89.42, 89.91, 89.23, 89.62, 183474.264412482
02/21/24, 89.32, 89.72, 88.93, 89.32, 260004.818936095
02/20/24, 89.42, 89.81, 88.64, 88.93, 131124.068398713
02/19/24, 88.34, 89.81, 87.95, 89.42, 442584.608742652
02/16/24, 87.36, 88.34, 87.36, 88.34, 172326.951043419
02/15/24, 86.97, 87.85, 86.77, 87.85, 1218775.64505431
02/14/24, 87.36, 87.36, 86.87, 86.97, 1526511.58498906
02/13/24, 88.24, 88.24, 87.16, 87.85, 818527.803052487
02/12/24, 88.05, 88.24, 87.66, 87.85, 48844.6298190203
02/09/24, 87.85, 87.85, 87.16, 87.85, 157649.621148694
02/08/24, 87.36, 88.05, 87.26, 87.36, 108097.969260753
02/07/24, 86.38, 87.36, 86.38, 87.36, 100583.567559948
02/06/24, 86.87, 86.87, 85.89, 86.08, 494352.071869645
02/02/24, 87.36, 87.36, 86.28, 86.38, 95296.1834998639
02/01/24, 85.40, 87.36, 84.51, 86.48, 582803.181477466
01/31/24, 85.10, 85.50, 84.42, 84.61, 72291.4784014533
01/30/24, 86.77, 86.77, 85.40, 85.50, 46416.9157120492
01/29/24, 85.89, 87.07, 85.79, 86.38, 70441.403362318
01/26/24, 86.28, 86.38, 86.08, 86.38, 229334.935096245
01/24/24, 86.18, 86.38, 85.89, 86.18, 83885.0103096909
01/23/24, 86.87, 86.87, 85.89, 85.89, 4853.39068636589
01/22/24, 87.66, 87.66, 85.89, 86.28, 273553.358553639
01/19/24, 86.38, 88.15, 86.38, 87.85, 29606.2944451048
01/18/24, 87.46, 88.15, 86.38, 87.85, 34710.3010233359
01/17/24, 89.62, 89.62, 88.34, 88.34, 78993.9253631664
01/16/24, 89.72, 89.81, 88.93, 89.32, 371958.809134693
01/12/24, 90.40, 90.70, 89.52, 89.81, 153445.182995328
01/11/24, 91.58, 91.58, 90.11, 90.40, 536684.763555321
01/10/24, 92.56, 92.96, 91.29, 91.58, 134663.253798468
01/09/24, 93.25, 93.25, 92.27, 92.56, 19784.3927643211
01/08/24, 93.45, 93.74, 92.27, 93.25, 358179.010137257
01/05/24, 94.43, 94.43, 93.25, 93.45, 242798.917319379
01/04/24, 94.23, 94.23, 93.45, 93.74, 384419.309026578
01/03/24, 94.23, 95.70, 93.94, 94.13, 222734.364513339
01/02/24, 93.74, 96.20, 92.76, 95.12, 122853.74396716
12/29/23, 92.76, 93.84, 92.76, 93.74, 391146.206319205
12/28/23, 91.39, 92.76, 91.19, 92.56, 657921.729390814
12/27/23, 90.70, 92.27, 90.01, 91.39, 80351.9374926638
12/22/23, 91.09, 91.78, 90.89, 91.19, 122341.30578176
12/21/23, 91.97, 92.47, 91.29, 91.48, 84128.4948550396
12/20/23, 91.88, 92.27, 91.68, 91.97, 121095.357668951
12/19/23, 91.68, 92.37, 91.68, 92.17, 296254.472043205
12/18/23, 91.78, 92.37, 91.68, 92.17, 500690.820159017
12/15/23, 92.17, 92.76, 91.29, 92.17, 310644.510549695
12/14/23, 92.27, 93.15, 91.29, 91.88, 97908.2938524756
12/13/23, 93.64, 93.64, 91.39, 92.66, 278542.244823818
12/12/23, 93.05, 93.35, 92.56, 93.25, 369352.81136481
12/11/23, 92.27, 92.76, 91.97, 92.47, 356582.607281351
12/08/23, 90.31, 92.27, 90.31, 92.17, 239839.408515036
12/07/23, 88.34, 90.31, 88.34, 90.11, 210909.57322521
12/06/23, 88.34, 88.73, 87.85, 88.34, 224705.672443255
12/05/23, 89.32, 89.81, 87.46, 88.05, 216085.912032394
12/04/23, 89.13, 90.80, 88.54, 89.23, 94298.8137513433
12/01/23, 86.28, 88.44, 86.28, 88.24, 361977.98030297
11/30/23, 84.42, 86.38, 84.42, 85.50, 284427.643227499
11/29/23, 83.93, 84.42, 83.73, 84.12, 280043.902647434
11/28/23, 83.83, 83.93, 82.94, 83.93, 68359.0501795028
11/27/23, 83.43, 83.93, 83.43, 83.73, 306143.612134001
11/24/23, 83.93, 84.42, 82.94, 83.14, 122568.4901065
11/23/23, 83.63, 83.93, 82.45, 83.43, 216754.221077368
11/22/23, 81.18, 83.43, 81.18, 83.14, 423360.536061769
11/21/23, 81.86, 82.94, 81.47, 82.45, 257073.835517817
11/20/23, 83.43, 83.43, 81.37, 81.47, 145388.79895927
11/17/23, 83.93, 83.93, 82.26, 82.94, 258144.556259079
11/16/23, 82.94, 84.32, 80.98, 82.94, 99652.4174576516
11/15/23, 84.91, 84.91, 81.47, 83.34, 49761.5172282833
11/14/23, 85.79, 86.08, 83.43, 83.53, 69228.0556907266
11/13/23, 84.61, 85.89, 83.93, 85.40, 86837.387767518
11/10/23, 85.10, 85.40, 83.93, 84.42, 851127.225506941
11/09/23, 86.38, 86.38, 84.42, 84.91, 722506.259735517
11/08/23, 83.43, 87.26, 83.43, 85.30, 448342.661672824
11/07/23, 83.34, 84.42, 82.45, 83.43, 206090.820507638
11/06/23, 82.85, 84.32, 82.35, 82.45, 41310.871606242
11/03/23, 83.34, 83.83, 82.45, 83.14, 71962.4176979066
11/02/23, 81.96, 84.42, 81.96, 82.94, 310608.853817112
11/01/23, 81.77, 82.65, 80.98, 82.26, 71353.1969526408
10/31/23, 80.98, 81.67, 80.10, 80.69, 45604.9609729574
10/30/23, 81.96, 81.96, 80.49, 81.37, 27649.2492082221
10/27/23, 80.00, 82.35, 79.51, 81.57, 143531.592573618
10/26/23, 80.98, 82.45, 79.51, 80.69, 44957.0272037448
10/25/23, 83.34, 83.34, 81.08, 81.37, 7228.12907635726
10/24/23, 85.69, 85.89, 82.94, 83.34, 54454.9619999222
10/23/23, 85.20, 87.16, 84.91, 85.20, 271257.064975329
10/20/23, 80.20, 85.69, 80.20, 85.20, 165233.298787087
10/19/23, 78.62, 80.98, 78.53, 80.20, 277016.136669289
10/18/23, 78.53, 79.31, 78.53, 79.02, 189926.09548233
10/17/23, 78.82, 81.37, 78.82, 79.31, 253805.641285689
10/16/23, 82.45, 82.45, 78.82, 78.92, 297079.670711542
10/13/23, 82.94, 83.43, 82.45, 82.45, 48124.3638208547
10/12/23, 81.96, 83.43, 81.08, 82.75, 65015.4674270567
10/11/23, 83.34, 84.32, 81.47, 81.96, 275205.793417889
10/10/23, 83.43, 85.30, 82.45, 82.94, 257639.249420196
10/09/23, 84.71, 85.40, 81.96, 83.04, 348093.248635363
10/06/23, 86.38, 86.38, 84.51, 85.20, 24787.5417275333
10/05/23, 86.18, 87.16, 84.91, 85.59, 70909.0159410422
10/04/23, 85.50, 86.18, 84.51, 85.69, 98633.6536695815
10/03/23, 86.38, 88.24, 85.59, 85.99, 60294.51603314
10/02/23, 88.34, 88.34, 86.18, 86.38, 102228.871077681
09/27/23, 87.36, 89.42, 87.26, 88.54, 143851.484403072
09/26/23, 86.87, 87.36, 86.18, 86.48, 137802.065029512
09/25/23, 87.85, 88.34, 86.38, 86.48, 46261.0448524745
09/22/23, 86.38, 88.54, 85.99, 88.15, 67273.04798142
09/21/23, 88.24, 88.24, 85.99, 86.38, 53459.6297789778
09/20/23, 86.87, 87.85, 86.38, 87.36, 655904.577090435
09/19/23, 88.34, 88.34, 85.40, 85.69, 201191.585450809
09/18/23, 90.80, 90.80, 87.85, 88.34, 187086.800804979
09/15/23, 91.29, 91.29, 89.32, 89.52, 133134.089352575
09/14/23, 89.32, 91.29, 89.32, 90.31, 75024.8216448454
