Date, Open, High, Low, Close, Volume
05/03/24, 81.60, 82.00, 81.20, 81.70, 167173
05/02/24, 81.60, 83.00, 81.20, 81.90, 541362
04/30/24, 83.20, 83.20, 81.40, 81.80, 110044
04/29/24, 83.00, 83.50, 81.90, 82.80, 296876
04/26/24, 81.20, 83.20, 81.20, 82.70, 323372
04/25/24, 78.40, 81.00, 78.00, 81.00, 707634
04/24/24, 78.00, 79.50, 78.00, 78.70, 285629
04/22/24, 77.40, 79.00, 77.40, 78.60, 63812
04/19/24, 78.00, 78.00, 76.00, 77.00, 474563
04/18/24, 78.50, 79.00, 78.30, 78.50, 388562
04/17/24, 79.00, 80.00, 77.00, 78.50, 235972
04/16/24, 81.50, 81.50, 78.50, 79.10, 155947
04/15/24, 82.60, 83.00, 81.80, 81.80, 67170
04/10/24, 82.00, 83.00, 81.60, 83.00, 130059
04/09/24, 83.00, 83.00, 81.50, 82.80, 80632
04/08/24, 82.50, 84.00, 82.50, 83.00, 544026
04/05/24, 80.00, 82.00, 79.60, 81.30, 704978
04/04/24, 78.50, 81.80, 78.50, 80.00, 1289927
04/03/24, 78.70, 79.80, 77.00, 78.90, 115998
04/02/24, 80.00, 81.00, 78.10, 78.40, 744957
04/01/24, 76.00, 81.00, 76.00, 79.80, 1018330
03/28/24, 74.80, 77.10, 74.00, 76.00, 1362607
03/27/24, 72.80, 75.00, 71.50, 74.50, 871591
03/26/24, 71.40, 72.00, 70.90, 71.10, 3944380
03/25/24, 72.70, 72.70, 71.00, 71.00, 167067
03/22/24, 71.00, 72.80, 71.00, 71.80, 113335
03/21/24, 72.00, 72.00, 71.00, 71.50, 10202
03/20/24, 70.30, 72.50, 70.20, 71.20, 10944
03/19/24, 72.20, 72.50, 70.50, 70.80, 114895
03/18/24, 73.50, 73.50, 72.20, 72.60, 19506
03/15/24, 73.80, 75.00, 73.00, 73.10, 55236
03/14/24, 73.50, 73.90, 72.00, 72.50, 181983
03/13/24, 71.50, 73.50, 71.50, 72.90, 1065604
03/12/24, 70.50, 71.60, 70.00, 71.50, 119710
03/11/24, 71.00, 71.50, 69.90, 70.50, 154809
03/07/24, 71.20, 71.50, 70.00, 71.00, 83309
03/06/24, 71.50, 71.90, 70.20, 70.40, 107755
03/05/24, 68.50, 71.80, 68.50, 71.10, 355258
03/04/24, 68.00, 70.00, 65.70, 68.00, 85367
03/01/24, 70.00, 70.90, 69.00, 69.00, 491077
02/29/24, 73.00, 73.00, 70.10, 70.40, 23793
02/28/24, 73.14, 73.14, 72.17, 72.46, 137134.419442994
02/27/24, 74.12, 74.12, 72.85, 73.14, 202321.974263309
02/26/24, 74.61, 75.48, 74.12, 74.12, 50776.8539764996
02/22/24, 75.58, 76.07, 73.14, 73.63, 30970.5997073141
02/21/24, 76.56, 76.56, 75.39, 75.58, 65944.2858024362
02/20/24, 77.92, 78.02, 76.07, 76.56, 90276.5706340666
02/19/24, 76.85, 77.53, 76.85, 77.04, 269049.650946965
02/16/24, 75.68, 76.95, 75.58, 76.85, 20300.487783254
02/15/24, 76.56, 77.34, 75.68, 75.68, 18229.2186993984
02/14/24, 75.87, 77.04, 75.09, 75.78, 7444.26413306517
02/13/24, 77.34, 77.34, 75.87, 76.07, 44271.8385963115
02/12/24, 76.56, 76.56, 76.07, 76.46, 8560.90375302494
02/09/24, 76.56, 76.56, 75.58, 76.26, 23369.4523218579
02/08/24, 76.07, 77.82, 75.78, 76.95, 29757.5742983036
02/07/24, 76.07, 76.07, 74.12, 75.19, 34758.3561408599
02/06/24, 73.14, 76.17, 73.14, 75.97, 14252.7922106895
02/02/24, 74.12, 75.00, 73.14, 73.53, 138324.886475844
02/01/24, 72.17, 73.14, 72.17, 73.14, 64198.0624114431
01/31/24, 71.68, 72.17, 70.22, 70.71, 55816.60028697
01/30/24, 70.22, 72.17, 70.02, 71.19, 72474.9357009889
01/29/24, 71.19, 71.19, 70.12, 70.22, 40374.3664241654
01/26/24, 71.97, 71.97, 70.71, 71.97, 3799.03562162623
01/24/24, 70.32, 72.95, 70.32, 72.07, 21830.3558392503
01/23/24, 71.00, 71.88, 70.12, 70.32, 50746.0925544621
01/22/24, 73.14, 73.14, 70.71, 71.00, 14460.9444998096
01/19/24, 72.17, 74.02, 72.17, 73.14, 168048.623209906
01/18/24, 72.36, 72.36, 70.22, 71.19, 25307.4219102178
01/17/24, 73.34, 74.41, 72.75, 73.14, 11165.3708188632
01/16/24, 75.09, 75.97, 73.14, 73.24, 15461.7160967617
01/12/24, 75.97, 75.97, 75.00, 75.19, 167661.029292234
01/11/24, 76.26, 76.85, 75.09, 75.19, 30070.3154223511
01/10/24, 77.04, 77.04, 75.58, 76.17, 8834.68040915833
01/09/24, 76.56, 77.53, 76.56, 77.04, 9325.8377810231
01/08/24, 77.04, 77.04, 75.29, 75.39, 64770.2248613399
01/05/24, 76.95, 77.82, 76.07, 77.04, 55056.7931626448
01/04/24, 76.17, 77.04, 76.17, 76.17, 13222.2845724346
01/03/24, 77.53, 77.53, 76.17, 76.36, 43500.7522839059
01/02/24, 77.82, 77.82, 76.56, 77.53, 30947.0159504187
12/29/23, 77.92, 77.92, 77.53, 77.63, 27802.1732374558
12/28/23, 77.73, 77.82, 76.65, 77.82, 17842.650162461
12/27/23, 76.65, 77.73, 76.65, 77.73, 516.791890229317
12/22/23, 77.73, 77.73, 76.56, 76.65, 5464.25393458737
12/21/23, 76.65, 78.02, 76.07, 77.04, 39471.0059969987
12/20/23, 77.92, 77.92, 76.56, 76.56, 58842.4988347214
12/19/23, 79.87, 79.87, 77.04, 77.14, 13423.2591964127
12/18/23, 80.17, 80.17, 78.02, 78.02, 40472.8029746853
12/15/23, 79.48, 80.26, 79.48, 79.48, 32887.0363002478
12/14/23, 78.51, 80.46, 78.51, 78.60, 8617.29969342695
12/13/23, 81.82, 81.82, 78.60, 79.87, 86675.4334942147
12/12/23, 80.95, 80.95, 80.07, 80.85, 157679.973221813
12/11/23, 80.36, 81.92, 80.36, 80.46, 63983.7578379155
12/08/23, 79.48, 80.95, 79.00, 80.46, 32710.6708138997
12/07/23, 78.60, 79.39, 78.60, 79.09, 25565.8178553325
12/06/23, 78.12, 79.48, 78.12, 79.00, 23909.8279689826
12/05/23, 79.48, 79.48, 78.02, 78.21, 45306.4477575047
12/04/23, 80.75, 82.41, 79.19, 79.29, 78635.4231543574
12/01/23, 78.02, 81.92, 77.04, 81.43, 117519.911371175
11/30/23, 77.34, 78.12, 76.07, 76.07, 115022.083901734
11/29/23, 73.53, 77.04, 73.53, 76.56, 13000.8023337649
11/28/23, 74.22, 74.22, 73.63, 73.73, 14012.8531187973
11/27/23, 76.07, 76.36, 74.22, 74.41, 44333.3614403864
11/24/23, 76.46, 76.46, 75.09, 75.68, 144492.551594354
11/23/23, 76.07, 76.07, 75.09, 75.58, 37765.7978353889
11/22/23, 77.04, 77.04, 75.09, 75.58, 33524.8231171578
11/21/23, 76.85, 77.04, 74.61, 75.48, 28203.0971046773
11/20/23, 78.02, 78.02, 76.56, 76.65, 7529.37073403547
11/17/23, 78.02, 78.02, 76.56, 76.75, 43585.8588848762
11/16/23, 80.26, 80.26, 78.02, 78.21, 24367.1477766061
11/15/23, 82.02, 82.02, 78.51, 78.70, 53591.5240929271
11/14/23, 83.87, 83.87, 81.92, 82.12, 32843.9703093954
11/13/23, 83.77, 83.87, 83.09, 83.87, 74191.4230506791
11/10/23, 84.26, 85.82, 82.80, 82.90, 217981.588841845
11/09/23, 82.41, 83.77, 82.41, 82.70, 55487.4530711692
11/08/23, 79.97, 83.87, 79.97, 82.90, 226500.451984752
11/07/23, 79.39, 81.82, 79.00, 80.26, 36404.092219864
11/06/23, 79.97, 79.97, 79.48, 79.97, 9229.45199197239
11/03/23, 80.95, 81.43, 80.07, 80.07, 12123.0764249627
11/02/23, 82.12, 82.90, 80.95, 81.92, 103795.190238795
11/01/23, 78.12, 81.92, 78.12, 80.56, 127720.398918797
