Date, Open, High, Low, Close, Volume
05/03/24, 199.50, 202.00, 199.50, 201.25, 168455
05/02/24, 204.50, 204.50, 200.00, 200.25, 187523
04/30/24, 204.75, 206.50, 200.25, 205.50, 326614
04/29/24, 200.00, 205.00, 199.00, 204.75, 555124
04/26/24, 197.00, 200.25, 197.00, 200.00, 483398
04/25/24, 188.25, 197.25, 188.25, 197.00, 243702
04/24/24, 190.00, 193.00, 189.00, 189.75, 72898
04/22/24, 190.00, 195.00, 188.00, 188.25, 75724
04/19/24, 192.00, 192.00, 188.00, 188.50, 361815
04/18/24, 195.00, 195.00, 192.00, 192.50, 343558
04/17/24, 196.50, 196.50, 193.00, 194.00, 1635146
04/16/24, 199.00, 199.00, 195.00, 196.00, 161858
04/15/24, 203.00, 204.00, 197.00, 200.25, 2017156
04/10/24, 202.00, 205.50, 202.00, 203.50, 385841
04/09/24, 200.00, 201.50, 195.75, 201.00, 454386
04/08/24, 201.00, 202.75, 199.25, 200.00, 550718
04/05/24, 195.00, 200.50, 193.00, 200.00, 3287451
04/04/24, 191.00, 196.75, 191.00, 195.25, 2142890
04/03/24, 181.00, 192.00, 181.00, 191.00, 492667
04/02/24, 180.00, 186.00, 180.00, 184.50, 487196
04/01/24, 175.00, 185.00, 170.00, 181.25, 870789
03/28/24, 174.36, 178.28, 174.36, 176.32, 2322499.9706988
03/27/24, 170.93, 174.36, 170.93, 174.12, 299078.994664143
03/26/24, 162.85, 171.18, 162.85, 170.69, 720950.98308249
03/25/24, 163.34, 164.32, 163.34, 163.59, 10648.5793443027
03/22/24, 158.69, 163.10, 158.69, 162.61, 604262.725641097
03/21/24, 162.61, 162.61, 157.71, 158.69, 7039.84307912103
03/20/24, 163.59, 163.59, 147.91, 162.12, 127944.247840232
03/19/24, 164.57, 165.30, 163.10, 163.34, 897659.619583316
03/18/24, 163.59, 165.06, 162.61, 164.32, 563839.775176486
03/15/24, 162.61, 163.59, 161.63, 162.85, 321661.414726967
03/14/24, 165.55, 165.55, 162.36, 162.61, 362631.545570118
03/13/24, 156.98, 164.57, 156.98, 162.61, 552217.296427096
03/12/24, 156.49, 158.45, 156.24, 156.73, 451408.499411417
