Company Name,Symbol,Price (Rs),Issued Quantity,Market Capitalization,Market Cap. (as a % of Total Market Cap.)
ABANS ELECTRICALS PLC,ABAN.N0000,177.25,5110560,905846760,0.02
ABANS FINANCE PLC,AFSL.N0000,22.1,73693171,1628619079,0.04
ACCESS ENGINEERING PLC,AEL.N0000,23.5,1000000000,23500000000,0.54
ACL CABLES PLC,ACL.N0000,85.4,239574720,20459681088,0.47
ACL PLASTICS PLC,APLA.N0000,401.25,4212500,1690265625,0.04
ACME PRINTING & PACKAGING PLC,ACME.N0000,5.7,95000000,541500000,0.01
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,33.4,156250000,5218750000,0.12
Agarapatana Plantations PLC,AGPL.N0000,7.5,500000000,3750000000,0.09
AGSTAR PLC,AGST.N0000,7.8,461289465,3598057827,0.08
AGSTAR PLC,AGST.X0000,6.2,26210535,162505317,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,68.6,336290010,23069494686,0.53
AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,56.8,18792783,1067430074,0.02
AITKEN SPENCE PLC,SPEN.N0000,130,405996045,52779485850,1.21
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,99.5,33696000,3352752000,0.08
ALPHA FIRE SERVICES PLC,AFS.N0000,7.1,37950000,269445000,0.01
ALUMEX PLC,ALUM.N0000,10.5,598605680,6285359640,0.14
AMANA BANK PLC,ABL.N0000,2.4,5511257461,13227017906,0.3
AMANA TAKAFUL LIFE PLC,ATLL.N0000,27.8,50000000,1390000000,0.03
AMANA TAKAFUL PLC,ATL.N0000,11.5,203630643,2341752395,0.05
AMBEON CAPITAL PLC,TAP.N0000,10.1,1002724815,10127520631,0.23
AMBEON HOLDINGS PLC,GREG.N0000,41,356869666,14631656306,0.33
AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.4,20000000,448000000,0.01
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0,1281320814,,0
ARPICO INSURANCE PLC,AINS.N0000,23,66230407,1523299361,0.03
ASIA ASSET FINANCE PLC,AAF.N0000,13.6,124195533,1689059249,0.04
ASIA CAPITAL PLC,ACAP.N0000,3.4,131329995,446521983,0.01
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4.6,260000000,1196000000,0.03
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,69.2,442775300,30640050760,0.7
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,24,1137533596,27300806304,0.62
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,11.5,528457545,6077261768,0.14
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,24,113327268,2719854432,0.06
B P P L HOLDINGS PLC,BPPL.N0000,20,306843357,6136867140,0.14
BAIRAHA FARMS PLC,BFL.N0000,177.25,17600000,3119600000,0.07
BALANGODA PLANTATIONS PLC,BALA.N0000,48.8,47272726,2306909029,0.05
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,13.4,53728000,719955200,0.02
BERUWALA RESORTS PLC,BERU.N0000,1.5,700544295,1050816443,0.02
BIMPUTH FINANCE PLC,BLI.N0000,0,107733344,,0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.4,699524300,279809720,0.01
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.3,225976714,67793014.2,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,53.8,94632904,5091250235,0.12
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,36.8,83750000,3082000000,0.07
BROWN & COMPANY PLC,BRWN.N0000,110.25,212625000,23441906250,0.54
BROWNS BEACH HOTELS PLC,BBH.N0000,13.8,129600000,1788480000,0.04
BROWNS INVESTMENTS PLC,BIL.N0000,5.6,14369717460,80470417776,1.84
BUKIT DARAH PLC,BUKI.N0000,395,102000000,40290000000,0.92
C I C HOLDINGS PLC,CIC.N0000,75,291600000,21870000000,0.5
C I C HOLDINGS PLC,CIC.X0000,54.8,87480000,4793904000,0.11
C M HOLDINGS PLC,COLO.N0000,84.6,15200000,1285920000,0.03
C T HOLDINGS PLC,CTHR.N0000,260,201406978,52365814280,1.2
C T LAND DEVELOPMENT PLC,CTLD.N0000,23.5,81250000,1909375000,0.04
C. W. MACKIE PLC,CWM.N0000,97.8,35988556,3519680777,0.08
CAPITAL ALLIANCE PLC,CALT.N0000,60.8,329417884,20028607347,0.46
CARGILLS (CEYLON) PLC,CARG.N0000,363.75,257677731,93730274651,2.14
CARGILLS BANK PLC,CBNK.N0000,8.2,945642858,7754271436,0.18
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,56.6,18031995,1020610917,0.02
CARSON CUMBERBATCH PLC,CARS.N0000,259.25,196386914,50913307454,1.16
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,116.75,227354462,26543633438,0.61
CENTRAL INDUSTRIES PLC,CIND.N0000,120.25,24195193,2909471958,0.07
CEYLINCO INSURANCE PLC,CINS.N0000,2460,20000000,49200000000,1.12
CEYLINCO INSURANCE PLC,CINS.X0000,860,6414480,5516452800,0.13
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,1550,20988090,32531539500,0.74
CEYLON COLD STORES PLC,CCS.N0000,56.5,950400000,53697600000,1.23
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,178,60000000,10680000000,0.24
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,96,82059441,7877706336,0.18
CEYLON HOSPITALS PLC,CHL.N0000,120,27122726,3254727120,0.07
CEYLON HOSPITALS PLC,CHL.X0000,95,8867044,842369180,0.02
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,20.2,180030942,3636625028,0.08
CEYLON INVESTMENT PLC,CINV.N0000,56.4,99360760,5603946864,0.13
CEYLON LAND & EQUITY PLC,KZOO.N0000,8,302871815,2422974520,0.06
CEYLON PRINTERS PLC,CPRT.N0000,109.5,600170,65718615,0
CEYLON TEA BROKERS PLC,CTBL.N0000,5,182400000,912000000,0.02
CEYLON TOBACCO COMPANY PLC,CTC.N0000,1217,187323751,2.27973E+11,5.21
CHEMANEX PLC,CHMX.N0000,73.1,15707312,1148204507,0.03
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,115,240000000,27600000000,0.63
CHRISSWORLD PLC,CWL.N0000,11.5,30000000,345000000,0.01
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,200,60506754,12101350800,0.28
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,94.1,10343668,973339158.8,0.02
CITRUS LEISURE PLC,REEF.N0000,4.9,267229723,1309425643,0.03
CITY HOUSING & REAL ESTATE CO. PLC,CHOU.N0000,0,13379850,,0
Co-operative Insurance Company PLC,COOP.N0000,2.8,1652177600,4626097280,0.11
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,49.6,25457140,1262674144,0.03
COLOMBO DOCKYARD PLC,DOCK.N0000,51.5,71858924,3700734586,0.08
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,67.5,8787041,593125267.5,0.01
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,105.5,7096600,748691300,0.02
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,20.6,199881008,4117548765,0.09
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,111.5,1236547395,1.37875E+11,3.15
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,93.4,77595733,7247441462,0.17
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,37.1,318074365,11800558941,0.27
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,112.75,12000000,1353000000,0.03
CONVENIENCE FOODS LANKA PLC,SOY.N0000,909.75,2750000,2501812500,0.06
DANKOTUWA PORCELAIN PLC,DPL.N0000,23.8,162552920,3868759496,0.09
DFCC BANK PLC,DFCC.N0000,83,432658011,35910614913,0.82
DIALOG AXIATA PLC,DIAL.N0000,12,8247640305,98971683660,2.26
DIALOG FINANCE PLC,CALF.N0000,46.2,117399866,5423873809,0.12
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,607,9231494,5603516858,0.13
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,981,20737500,20343487500,0.46
DIPPED PRODUCTS PLC,DIPD.N0000,30,598615120,17958453600,0.41
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,26.8,4600000000,1.2328E+11,2.82
DOLPHIN HOTELS PLC,STAF.N0000,37,63242954,2339989298,0.05
E - CHANNELLING PLC,ECL.N0000,15.1,122131415,1844184367,0.04
E B CREASY & COMPANY PLC,EBCR.N0000,23.9,253545800,6059744620,0.14
E M L CONSULTANTS PLC,EML.N0000,3.3,90900000,299970000,0.01
EAST WEST PROPERTIES PLC,EAST.N0000,8.6,138240000,1188864000,0.03
EASTERN MERCHANTS PLC,EMER.N0000,7,117446000,822122000,0.02
EDEN HOTEL LANKA PLC,EDEN.N0000,14,1584000000,22176000000,0.51
ELPITIYA PLANTATIONS PLC,ELPL.N0000,112,72866428,8161039936,0.19
EQUITY TWO PLC,ETWO.N0000,40.7,31000000,1261700000,0.03
Ex-pack Corrugated Cartons PLC,PACK.N0000,14.6,333333333,4866666662,0.11
EXPOLANKA HOLDINGS PLC,EXPO.N0000,0,1954915000,,0
EXTERMINATORS PLC,EXT.N0000,8,52852459,422819672,0.01
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,30.4,405000000,12312000000,0.28
First Capital Treasuries PLC,FCT.N0000,24.5,615600000,15082200000,0.34
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,17.2,500829564,8614268501,0.2
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,29.8,26949524,803095815.2,0.02
GESTETNER OF CEYLON PLC,GEST.N0000,116.5,2657812,309635098,0.01
GREENTECH ENERGY PLC,MEL.N0000,2,100000000,200000000,0
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,31,46315789,1435789459,0.03
