Date, Open, High, Low, Close, Volume
05/03/24, 114.00, 114.75, 114.00, 114.00, 155908
05/02/24, 114.50, 115.50, 113.75, 114.00, 33948
04/30/24, 115.50, 115.50, 113.75, 114.75, 237801
04/29/24, 114.25, 117.00, 114.25, 116.00, 71051
04/26/24, 114.50, 115.50, 114.25, 114.25, 47321
04/25/24, 112.00, 114.50, 111.25, 114.25, 170741
04/24/24, 112.50, 114.75, 110.50, 110.50, 48962
04/22/24, 112.75, 114.00, 109.25, 113.25, 20335
04/19/24, 112.50, 113.75, 110.00, 111.00, 175309
04/18/24, 112.50, 115.00, 112.00, 113.00, 73441
04/17/24, 114.00, 115.75, 111.25, 114.00, 460877
04/16/24, 116.50, 116.50, 113.50, 114.25, 259064
04/15/24, 117.00, 118.75, 115.00, 117.00, 183677
04/10/24, 112.50, 117.00, 112.50, 116.25, 296585
04/09/24, 114.00, 114.25, 112.50, 113.25, 322014
04/08/24, 114.00, 115.50, 113.25, 114.00, 608192
04/05/24, 114.25, 114.25, 112.00, 113.75, 193787
04/04/24, 113.75, 115.00, 112.25, 114.00, 326192
04/03/24, 108.75, 112.50, 108.00, 112.00, 404312
04/02/24, 108.00, 110.00, 108.00, 109.00, 357671
04/01/24, 107.50, 108.00, 107.00, 107.75, 229158
03/28/24, 107.50, 108.00, 106.00, 107.50, 896698
03/27/24, 105.25, 108.00, 105.00, 107.50, 276400
03/26/24, 104.50, 106.00, 104.00, 105.50, 101284
03/25/24, 104.50, 105.50, 103.00, 104.50, 1313687
03/22/24, 104.00, 104.50, 103.00, 104.50, 744455
03/21/24, 103.50, 104.00, 103.00, 103.75, 105350
03/20/24, 103.50, 104.00, 103.25, 103.50, 157771
03/19/24, 104.25, 105.00, 103.50, 103.75, 182342
03/18/24, 106.00, 106.00, 104.00, 104.50, 45886
03/15/24, 105.25, 106.00, 104.75, 105.00, 110779
03/14/24, 104.50, 106.00, 103.75, 105.50, 268090
03/13/24, 102.50, 105.00, 102.50, 104.00, 139060
03/12/24, 101.75, 102.25, 101.50, 102.00, 59504
03/11/24, 102.75, 104.00, 101.50, 103.00, 77957
03/07/24, 100.00, 102.00, 99.80, 101.25, 265492
03/06/24, 99.80, 101.25, 99.50, 100.50, 107564
03/05/24, 98.95, 100.91, 98.95, 99.69, 630684.509530384
03/04/24, 98.22, 100.42, 97.97, 98.46, 1159274.50546901
03/01/24, 101.89, 101.89, 97.97, 98.71, 73287.2927537589
02/29/24, 99.69, 102.87, 98.95, 100.42, 67260.0582624434
02/28/24, 104.10, 104.10, 98.22, 99.20, 108614.746264161
02/27/24, 102.87, 103.85, 100.18, 100.91, 105214.794004961
02/26/24, 102.87, 104.34, 102.87, 104.10, 73101.5253232052
02/22/24, 104.83, 104.83, 102.63, 102.87, 585953.345373329
02/21/24, 104.59, 104.83, 102.87, 102.87, 59467.0124807001
02/20/24, 103.36, 105.07, 103.36, 104.34, 170371.189221409
02/19/24, 104.83, 104.83, 103.85, 104.10, 182265.408277684
02/16/24, 103.85, 104.83, 103.85, 103.85, 67019.1730228243
02/15/24, 103.85, 104.34, 103.12, 103.85, 59348.6112612263
02/14/24, 102.87, 103.85, 101.89, 103.12, 63538.5854503627
02/13/24, 104.34, 104.34, 102.14, 102.38, 55663.8836551892
02/12/24, 104.59, 104.59, 101.89, 103.85, 30970.0844937334
02/09/24, 102.87, 103.85, 102.14, 103.12, 122250.279806834
02/08/24, 101.40, 102.87, 101.40, 102.87, 7980.8546126327
02/07/24, 101.89, 101.89, 101.40, 101.40, 10722.4552635512
02/06/24, 101.65, 102.38, 101.65, 101.89, 17728.541215861
02/02/24, 100.18, 101.65, 98.95, 100.67, 1284439.9049553
02/01/24, 98.95, 100.42, 98.46, 99.20, 2058344.97924156
01/31/24, 98.46, 100.91, 98.22, 98.95, 9103.62479729775
01/30/24, 99.93, 99.93, 98.22, 98.46, 54353.3046396348
01/29/24, 99.93, 99.93, 98.95, 99.20, 22207.3735525067
01/26/24, 100.91, 100.91, 99.93, 99.93, 126491.289004364
01/24/24, 98.46, 99.93, 97.97, 99.69, 129538.079005478
01/23/24, 100.67, 100.67, 98.95, 98.95, 123505.741013323
01/22/24, 102.63, 102.63, 98.95, 99.93, 50277.6488693007
01/19/24, 99.93, 101.89, 99.93, 101.16, 6180.33951649713
01/18/24, 102.63, 102.63, 100.42, 100.42, 497523.96562911
01/17/24, 101.40, 102.38, 100.91, 101.89, 60641.8383739269
01/16/24, 101.89, 102.87, 101.89, 102.38, 33347.2951847197
01/12/24, 102.87, 103.36, 101.89, 102.87, 72404.387108545
01/11/24, 102.87, 103.36, 102.63, 102.87, 93499.1974780654
01/10/24, 102.87, 102.87, 102.38, 102.87, 36131.765242689
01/09/24, 102.87, 105.07, 102.63, 102.63, 7797.12858241479
01/08/24, 102.87, 105.32, 102.38, 102.63, 20305.8091397513
01/05/24, 105.32, 106.05, 102.87, 103.61, 211562.565196266
