Date, Open, High, Low, Close, Volume
05/03/24, 76.50, 78.00, 76.00, 77.80, 299742
05/02/24, 77.80, 78.60, 76.00, 76.50, 868879
04/30/24, 78.00, 78.00, 76.50, 77.80, 958754
04/29/24, 76.40, 78.10, 75.50, 77.40, 734958
04/26/24, 76.00, 76.80, 75.90, 76.40, 703489
04/25/24, 72.50, 76.00, 72.30, 76.00, 445481
04/24/24, 73.10, 73.80, 72.80, 73.00, 186134
04/22/24, 73.00, 74.00, 72.50, 73.60, 93771
04/19/24, 72.10, 73.40, 72.10, 73.00, 203351
04/18/24, 74.00, 74.20, 73.50, 73.50, 1530677
04/17/24, 74.30, 75.80, 71.20, 74.50, 453346
04/16/24, 76.70, 76.70, 73.00, 74.10, 479265
04/15/24, 78.00, 78.10, 76.40, 76.60, 463274
04/10/24, 77.70, 78.90, 77.40, 78.20, 163851
04/09/24, 77.00, 78.00, 76.10, 77.80, 669361
04/08/24, 75.00, 77.30, 74.90, 76.70, 1107060
04/05/24, 74.00, 74.20, 72.70, 74.00, 796432
04/04/24, 71.90, 74.20, 71.90, 74.00, 1083663
04/03/24, 71.20, 71.90, 70.20, 71.50, 762954
04/02/24, 71.00, 71.50, 70.70, 71.00, 1041145
04/01/24, 67.20, 71.10, 67.20, 70.60, 1484294
03/28/24, 66.70, 68.70, 66.50, 68.00, 3549225
03/27/24, 65.10, 67.40, 65.10, 67.00, 588123
03/26/24, 65.00, 65.80, 63.00, 65.00, 169079
03/25/24, 63.64, 64.41, 63.45, 63.64, 286143.178398677
03/22/24, 63.45, 63.74, 63.45, 63.45, 47498.6171790324
03/21/24, 63.45, 63.45, 62.97, 63.16, 97221.1315972198
03/20/24, 64.22, 64.22, 62.97, 63.16, 46646.7126706751
03/19/24, 64.32, 64.32, 63.35, 63.45, 455553.595447063
03/18/24, 63.93, 64.32, 63.64, 64.12, 282783.408481713
03/15/24, 62.49, 63.84, 62.39, 63.55, 207203.147820236
03/14/24, 61.53, 62.49, 61.53, 62.30, 428695.199463798
03/13/24, 61.43, 61.91, 61.05, 61.62, 456351.410780286
03/12/24, 60.66, 61.24, 60.37, 61.14, 80231.9297229832
03/11/24, 60.66, 61.43, 60.47, 60.95, 102109.960888159
03/07/24, 58.74, 61.43, 58.74, 61.05, 165696.987140161
03/06/24, 59.41, 60.57, 58.64, 59.41, 25423.9926657741
