Date, Open, High, Low, Close, Volume
05/03/24, 23.10, 23.40, 23.10, 23.30, 1425340
05/02/24, 23.30, 23.40, 23.00, 23.10, 256218
04/30/24, 23.50, 23.50, 22.80, 23.10, 664440
04/29/24, 24.10, 24.20, 23.50, 23.50, 1019802
04/26/24, 24.40, 24.60, 23.90, 24.00, 1788171
04/25/24, 22.50, 24.30, 22.40, 24.10, 7621505
04/24/24, 22.90, 22.90, 22.50, 22.50, 480414
04/22/24, 22.50, 22.90, 22.40, 22.80, 209610
04/19/24, 22.70, 22.70, 22.40, 22.60, 817980
04/18/24, 23.30, 23.30, 22.50, 22.80, 604352
04/17/24, 22.70, 23.60, 22.60, 23.20, 1949303
04/16/24, 23.50, 23.70, 22.80, 23.00, 1751244
04/15/24, 23.70, 24.10, 23.10, 23.70, 1181644
04/10/24, 23.60, 24.20, 23.60, 24.00, 2647415
04/09/24, 23.20, 23.70, 23.00, 23.60, 3772129
04/08/24, 23.00, 23.50, 23.00, 23.20, 2302988
04/05/24, 22.30, 23.00, 22.00, 22.90, 4838758
04/04/24, 22.10, 22.60, 22.10, 22.20, 2605425
04/03/24, 21.50, 22.30, 21.30, 22.10, 5680451
04/02/24, 21.30, 21.70, 21.30, 21.50, 6097723
04/01/24, 21.10, 21.40, 20.60, 21.30, 414387
03/28/24, 21.50, 21.50, 21.00, 21.30, 1460802
03/27/24, 20.70, 21.50, 20.70, 21.30, 3102813
03/26/24, 20.10, 20.70, 19.90, 20.60, 1461486
03/25/24, 20.40, 20.40, 20.00, 20.10, 278052
03/22/24, 20.20, 20.40, 20.00, 20.30, 687708
03/21/24, 20.00, 20.20, 19.60, 20.00, 870153
03/20/24, 19.70, 20.30, 19.70, 20.00, 2095879
03/19/24, 20.00, 20.00, 19.60, 19.70, 4525619
03/18/24, 20.30, 20.30, 19.70, 20.00, 395878
03/15/24, 20.30, 20.40, 20.00, 20.00, 692592
03/14/24, 20.70, 20.80, 20.00, 20.10, 1213949
03/13/24, 20.30, 20.90, 20.10, 20.70, 3531908
03/12/24, 19.70, 20.30, 19.50, 20.10, 2785543
03/11/24, 19.20, 19.80, 18.50, 19.60, 893959
03/07/24, 18.50, 19.20, 18.20, 19.10, 943132
03/06/24, 18.30, 18.60, 18.30, 18.50, 215817
03/05/24, 18.20, 18.70, 18.00, 18.40, 1313023
03/04/24, 18.40, 18.40, 17.80, 18.10, 426051
03/01/24, 18.50, 18.50, 18.30, 18.50, 103060
02/29/24, 18.00, 18.70, 18.00, 18.50, 137420
02/28/24, 18.50, 18.50, 18.00, 18.10, 61203
02/27/24, 18.70, 18.70, 18.00, 18.30, 165136
02/26/24, 19.10, 19.10, 18.70, 18.70, 45098
02/22/24, 19.00, 19.10, 18.90, 19.00, 850233
02/21/24, 19.10, 19.10, 18.80, 19.00, 296197
02/20/24, 19.20, 19.20, 18.90, 19.00, 565291
02/19/24, 19.00, 19.40, 19.00, 19.00, 172582
02/16/24, 19.10, 19.40, 19.00, 19.00, 192935
02/15/24, 19.20, 19.40, 19.00, 19.40, 154589
02/14/24, 19.40, 19.40, 19.00, 19.10, 88905
02/13/24, 19.40, 19.40, 19.00, 19.00, 107356
02/12/24, 19.40, 19.50, 19.10, 19.40, 982065
02/09/24, 19.50, 19.50, 19.10, 19.30, 244748
02/08/24, 19.00, 19.50, 19.00, 19.40, 321549
02/07/24, 19.10, 19.20, 19.00, 19.00, 356625
02/06/24, 18.70, 19.10, 18.60, 19.00, 318701
02/02/24, 18.60, 18.90, 18.40, 18.60, 328915
02/01/24, 18.00, 18.50, 18.00, 18.40, 475411
01/31/24, 18.20, 18.30, 18.00, 18.00, 61057
01/30/24, 18.40, 18.40, 18.10, 18.20, 543404
01/29/24, 18.10, 18.40, 18.00, 18.10, 457266
01/26/24, 17.90, 18.30, 17.90, 18.10, 327341
01/24/24, 17.80, 18.40, 17.60, 17.90, 256562
01/23/24, 18.10, 18.10, 17.70, 17.80, 80473
01/22/24, 18.10, 18.20, 18.00, 18.00, 88067
01/19/24, 18.00, 18.60, 18.00, 18.20, 68900
01/18/24, 18.30, 18.50, 18.00, 18.00, 126155
01/17/24, 18.60, 18.60, 18.40, 18.50, 37316
01/16/24, 18.60, 19.00, 18.60, 18.70, 114968
01/12/24, 18.90, 19.00, 18.70, 19.00, 119307
01/11/24, 18.90, 19.00, 18.70, 18.80, 61644
01/10/24, 19.20, 19.20, 18.60, 18.70, 306376
01/09/24, 19.50, 19.60, 19.20, 19.20, 161661
01/08/24, 19.60, 19.90, 19.30, 19.40, 461907
01/05/24, 19.30, 19.60, 19.10, 19.50, 410911
01/04/24, 19.10, 19.30, 19.10, 19.10, 305952
01/03/24, 19.10, 19.10, 18.90, 19.00, 237258
01/02/24, 19.00, 19.10, 18.90, 19.00, 152639
12/29/23, 19.00, 19.50, 18.90, 19.10, 634069
12/28/23, 18.90, 19.50, 18.90, 19.00, 210649
12/27/23, 19.00, 19.70, 19.00, 19.00, 138660
12/22/23, 19.30, 19.30, 18.90, 18.90, 76773
12/21/23, 19.10, 19.50, 19.10, 19.30, 40523
12/20/23, 19.10, 19.40, 19.00, 19.00, 235539
12/19/23, 19.50, 19.60, 19.10, 19.20, 144844
12/18/23, 20.00, 20.00, 19.10, 19.40, 366826
12/15/23, 19.70, 20.10, 19.60, 19.80, 414902
12/14/23, 20.00, 20.20, 19.50, 20.00, 851712
12/13/23, 20.30, 20.40, 19.60, 20.00, 244573
12/12/23, 19.50, 20.60, 19.50, 20.30, 1919316
12/11/23, 19.00, 19.70, 19.00, 19.50, 920981
12/08/23, 19.00, 19.40, 18.90, 19.10, 373873
12/07/23, 18.80, 19.20, 18.70, 18.70, 568496
12/06/23, 19.00, 19.10, 18.80, 18.80, 127720
12/05/23, 19.30, 19.30, 19.10, 19.10, 769869
12/04/23, 19.50, 19.80, 19.10, 19.10, 455182
12/01/23, 18.90, 19.50, 18.70, 19.30, 914292
11/30/23, 18.00, 18.80, 18.00, 18.70, 555567
11/29/23, 17.50, 18.00, 17.50, 18.00, 355508
11/28/23, 17.30, 17.60, 17.30, 17.50, 281212
