Date, Open, High, Low, Close, Volume
05/03/24, 34.20, 35.10, 34.20, 34.90, 12523
05/02/24, 34.40, 34.60, 33.90, 34.50, 65881
04/30/24, 34.50, 34.50, 33.50, 34.00, 23126
04/29/24, 34.50, 34.50, 34.00, 34.50, 2400
04/26/24, 34.50, 34.60, 33.50, 34.50, 47086
04/25/24, 33.50, 34.50, 33.50, 33.90, 21220
04/24/24, 33.90, 34.00, 33.40, 33.50, 6330
04/22/24, 34.00, 34.00, 33.30, 33.60, 2464
04/19/24, 33.90, 33.90, 33.30, 33.30, 2550
04/18/24, 34.20, 34.20, 33.30, 33.30, 486
04/17/24, 33.30, 33.60, 32.90, 33.60, 10103
04/16/24, 34.30, 34.30, 33.30, 33.60, 9990
04/15/24, 34.50, 34.90, 34.00, 34.60, 17865
04/10/24, 34.50, 35.00, 34.50, 34.50, 53890
04/09/24, 34.30, 34.30, 33.70, 34.20, 26849
04/08/24, 34.50, 34.50, 33.90, 34.00, 62371
04/05/24, 34.30, 34.50, 33.60, 34.20, 31875
04/04/24, 32.90, 34.90, 32.90, 34.30, 48678
04/03/24, 32.90, 32.90, 32.50, 32.70, 26605
04/02/24, 32.50, 32.60, 32.00, 32.60, 15207
04/01/24, 32.50, 32.50, 31.80, 32.40, 10599
03/28/24, 32.50, 33.00, 31.00, 32.50, 2898648
03/27/24, 32.00, 33.00, 31.50, 32.00, 26413
03/26/24, 31.00, 32.00, 30.60, 31.80, 82581
03/25/24, 31.00, 31.00, 30.40, 30.60, 4869527
03/22/24, 31.00, 31.70, 30.80, 31.00, 12280
03/21/24, 31.70, 31.70, 31.00, 31.00, 5959
03/20/24, 31.00, 32.00, 31.00, 31.10, 16125
03/19/24, 31.80, 32.00, 31.00, 31.60, 23217
03/18/24, 31.80, 32.00, 31.50, 31.50, 815
03/15/24, 31.40, 31.40, 31.00, 31.00, 4161
03/14/24, 31.00, 31.50, 30.50, 30.70, 582
03/13/24, 31.50, 31.60, 30.00, 30.40, 58300
03/12/24, 30.60, 31.60, 30.60, 30.60, 1946
03/11/24, 30.70, 31.00, 30.50, 30.60, 1740
03/07/24, 30.00, 31.50, 29.90, 31.30, 9525
03/06/24, 30.50, 30.50, 29.90, 30.00, 5902
03/05/24, 30.50, 31.20, 30.00, 30.50, 1698
03/04/24, 30.50, 30.50, 29.60, 30.40, 1710
03/01/24, 30.50, 30.50, 30.20, 30.20, 667
02/29/24, 29.90, 30.50, 29.00, 29.10, 45669
02/28/24, 32.00, 32.00, 30.00, 30.00, 16788
02/27/24, 31.00, 32.00, 30.50, 32.00, 68599
02/26/24, 32.00, 32.00, 31.50, 31.50, 1092
02/22/24, 32.40, 32.50, 31.00, 31.10, 4900
02/21/24, 32.20, 32.50, 31.00, 32.50, 23444
02/20/24, 31.90, 32.20, 31.90, 32.00, 1292
02/19/24, 30.90, 32.50, 30.90, 32.00, 24998
02/16/24, 31.00, 31.20, 30.00, 30.80, 4388
02/15/24, 30.40, 31.20, 30.00, 31.00, 4342
02/14/24, 31.80, 31.80, 30.10, 31.40, 6880
02/13/24, 31.60, 31.60, 30.30, 31.20, 5488
02/12/24, 31.00, 31.60, 31.00, 31.50, 3833
02/09/24, 30.00, 31.10, 30.00, 31.00, 50791
02/08/24, 29.70, 30.90, 29.50, 30.30, 29526
02/07/24, 30.20, 30.30, 29.70, 29.70, 303
02/06/24, 29.40, 30.20, 29.30, 30.00, 506
02/02/24, 29.60, 29.60, 28.70, 29.50, 18450
02/01/24, 29.50, 29.60, 29.50, 29.50, 2248
01/31/24, 30.40, 30.40, 29.10, 29.20, 2955
01/30/24, 30.40, 30.40, 29.90, 29.90, 2164
01/29/24, 30.00, 30.90, 30.00, 30.40, 222
01/26/24, 30.20, 30.30, 30.20, 29.90, 31
01/24/24, 30.20, 30.20, 29.90, 29.90, 1196
01/23/24, 30.20, 30.20, 29.60, 29.90, 2307
01/22/24, 30.00, 30.00, 30.00, 30.00, 300
01/19/24, 30.30, 30.30, 30.00, 30.20, 34747
01/18/24, 30.30, 31.00, 30.30, 30.30, 1657
01/17/24, 30.50, 31.00, 30.50, 30.50, 1001
01/16/24, 31.10, 31.20, 30.30, 31.00, 5525
01/12/24, 30.60, 31.10, 30.60, 31.10, 310
01/11/24, 30.90, 31.00, 30.90, 31.00, 500
01/10/24, 30.60, 31.00, 30.30, 31.00, 6971
01/09/24, 31.10, 31.10, 31.10, 31.10, 110
01/08/24, 31.00, 31.00, 30.30, 30.80, 9042
01/05/24, 30.80, 31.50, 30.60, 31.10, 35
01/04/24, 30.50, 31.40, 30.50, 31.10, 304
01/03/24, 31.70, 31.70, 30.30, 30.40, 7218
01/02/24, 31.70, 31.70, 31.10, 31.10, 1291
12/29/23, 31.90, 31.90, 30.70, 31.50, 161
12/28/23, 32.00, 32.00, 30.50, 30.60, 67258
12/27/23, 31.20, 32.00, 31.20, 32.00, 233
12/22/23, 31.40, 31.40, 31.40, 31.40, 163
12/21/23, 31.30, 32.50, 31.10, 31.20, 1291
12/20/23, 32.00, 32.00, 31.20, 31.30, 448
12/19/23, 32.30, 32.30, 32.00, 32.00, 2586
12/18/23, 32.30, 32.30, 31.10, 31.50, 1791
12/15/23, 31.50, 31.50, 31.00, 31.20, 1009
12/14/23, 31.50, 31.50, 31.50, 31.50, 720
12/13/23, 31.50, 31.50, 31.50, 31.50, 92
12/12/23, 32.10, 32.10, 30.00, 31.50, 11565
12/11/23, 30.20, 32.00, 30.20, 32.00, 6383
12/08/23, 31.60, 31.90, 31.00, 31.10, 2251
12/07/23, 31.60, 31.70, 31.60, 31.70, 1351
12/06/23, 32.00, 32.00, 32.00, 32.00, 205
12/05/23, 32.00, 32.00, 31.60, 31.70, 505
12/04/23, 32.00, 32.00, 31.70, 32.00, 2451
12/01/23, 32.00, 32.00, 32.00, 32.00, 300
11/30/23, 31.00, 31.90, 31.00, 31.10, 1235
11/29/23, 31.50, 31.50, 30.60, 31.00, 203
11/28/23, 31.90, 32.00, 30.10, 30.10, 150530
11/27/23, 32.00, 32.00, 30.00, 30.50, 3326
11/24/23, 32.00, 32.00, 32.00, 32.00, 168
11/23/23, 30.50, 30.50, 30.50, 31.50, 96
11/22/23, 32.50, 32.50, 30.50, 31.50, 1137
11/21/23, 30.20, 31.50, 30.10, 30.50, 1730
11/20/23, 32.00, 32.90, 30.00, 30.60, 5690
11/17/23, 32.10, 32.10, 31.00, 32.00, 11776
11/16/23, 33.20, 33.20, 31.30, 32.10, 3158010
11/15/23, 33.50, 33.50, 33.50, 33.50, 167
11/14/23, 34.70, 34.70, 32.10, 32.70, 5628
11/13/23, 34.90, 35.40, 34.00, 34.00, 2318
11/10/23, 34.00, 34.90, 34.00, 34.60, 753
11/09/23, 34.10, 34.10, 34.00, 34.00, 1973
11/08/23, 34.00, 34.00, 34.00, 34.00, 164
11/07/23, 34.00, 35.50, 34.00, 34.50, 3211
11/03/23, 33.90, 33.90, 33.00, 33.00, 326
11/02/23, 34.00, 34.10, 33.00, 33.90, 1013
11/01/23, 33.90, 33.90, 33.90, 33.90, 100
10/31/23, 34.90, 35.70, 34.90, 34.90, 5
10/30/23, 32.20, 35.40, 32.10, 34.90, 289989
10/27/23, 32.30, 33.30, 32.10, 32.20, 1500
10/26/23, 33.00, 33.00, 33.00, 33.00, 19
10/25/23, 33.50, 33.50, 33.00, 33.00, 3281
10/24/23, 33.00, 33.60, 33.00, 33.10, 3183
10/23/23, 33.40, 33.40, 33.00, 33.00, 1030
10/20/23, 31.40, 33.50, 31.40, 33.50, 5946
10/19/23, 31.50, 31.50, 30.40, 30.40, 8682
10/18/23, 32.00, 32.30, 31.00, 31.20, 6906
10/17/23, 32.80, 32.80, 32.00, 32.30, 1609
10/16/23, 33.10, 33.10, 32.70, 32.70, 10231
10/13/23, 34.80, 34.80, 33.00, 33.50, 2418
10/12/23, 34.80, 34.80, 34.00, 34.70, 1455
10/11/23, 33.90, 34.90, 32.10, 34.40, 2539
10/10/23, 33.50, 33.90, 33.50, 33.60, 1497
10/09/23, 34.90, 34.90, 33.50, 33.50, 4383
10/06/23, 34.50, 34.50, 34.00, 34.30, 1074
10/05/23, 34.50, 34.50, 34.00, 34.30, 2955
10/04/23, 34.20, 34.20, 34.00, 34.20, 1171
10/03/23, 35.00, 35.00, 34.20, 34.30, 5659
10/02/23, 35.20, 35.50, 35.00, 35.00, 4320
09/27/23, 35.20, 36.00, 35.20, 36.00, 612
09/26/23, 35.20, 36.00, 35.00, 35.50, 2924
09/25/23, 35.10, 35.40, 35.10, 35.20, 819
09/22/23, 35.00, 35.20, 35.00, 35.00, 5705
09/21/23, 35.90, 36.30, 35.00, 35.00, 6389
09/20/23, 35.90, 35.90, 35.70, 35.70, 402
09/19/23, 36.50, 36.50, 35.10, 35.40, 2713
09/18/23, 35.90, 36.80, 35.10, 35.50, 1520
09/15/23, 36.60, 36.80, 36.00, 36.80, 2652
09/14/23, 36.00, 36.50, 36.00, 36.00, 36184
09/13/23, 36.80, 36.80, 36.00, 36.10, 107979
09/12/23, 36.70, 37.00, 36.10, 36.10, 474
09/11/23, 37.40, 37.40, 36.00, 36.20, 20653
09/08/23, 36.80, 37.60, 36.00, 36.80, 178144
09/07/23, 36.90, 36.90, 36.00, 36.00, 1250
09/06/23, 36.00, 37.00, 35.30, 37.00, 25474
09/05/23, 36.30, 37.40, 35.90, 37.00, 159913
09/04/23, 35.50, 36.50, 35.10, 36.30, 49759
09/01/23, 35.00, 35.50, 35.00, 35.50, 7607
08/31/23, 35.00, 36.00, 35.00, 35.10, 36928
08/29/23, 35.00, 36.20, 34.50, 35.00, 7040
08/28/23, 36.40, 36.40, 35.00, 35.00, 32907
08/25/23, 36.00, 36.90, 35.30, 35.50, 25795
08/24/23, 37.00, 37.00, 36.00, 36.00, 1551
08/23/23, 37.10, 37.10, 36.00, 36.00, 45784
08/22/23, 36.00, 37.00, 35.50, 36.10, 78279
08/21/23, 36.30, 37.10, 36.00, 36.00, 111401
08/18/23, 37.00, 37.00, 35.00, 35.90, 1205827
08/17/23, 36.80, 38.00, 36.80, 37.20, 49655
08/16/23, 36.70, 36.90, 35.70, 36.10, 6668
08/15/23, 35.50, 36.90, 35.50, 36.90, 43037
08/14/23, 37.40, 37.40, 35.60, 35.90, 162647
08/11/23, 37.90, 37.90, 36.80, 36.80, 6286
08/10/23, 37.00, 37.90, 36.80, 37.20, 43195
08/09/23, 37.50, 37.60, 36.50, 36.80, 7693
08/08/23, 37.50, 38.00, 36.40, 37.50, 87086
08/07/23, 36.70, 38.90, 36.30, 37.10, 311706
08/04/23, 37.00, 37.40, 36.20, 36.50, 33628
08/03/23, 35.50, 37.20, 35.50, 36.60, 251237
08/02/23, 35.60, 36.00, 35.40, 36.00, 74566
07/31/23, 35.90, 36.40, 35.50, 36.00, 21052
07/28/23, 37.50, 37.50, 35.40, 36.70, 24401
07/27/23, 35.30, 37.00, 35.00, 36.40, 17079
07/26/23, 36.90, 37.00, 35.50, 35.60, 33288
07/25/23, 37.90, 37.90, 35.40, 36.30, 19872
07/24/23, 36.10, 38.40, 36.10, 37.00, 33049
07/21/23, 37.90, 37.90, 36.00, 36.90, 62843
07/20/23, 34.60, 38.90, 34.60, 37.60, 359413
07/19/23, 33.40, 35.00, 32.00, 34.60, 167025
07/18/23, 31.90, 33.50, 30.50, 33.20, 54768
07/17/23, 32.00, 32.40, 30.20, 31.90, 79346
07/14/23, 31.60, 32.00, 30.20, 31.70, 4957
07/13/23, 32.10, 32.90, 32.00, 32.00, 23889
07/12/23, 31.80, 32.90, 31.00, 32.20, 1397388
07/11/23, 31.00, 31.90, 30.10, 30.80, 88812
07/10/23, 29.50, 31.40, 29.50, 30.50, 28642
07/07/23, 30.00, 31.00, 29.10, 29.50, 58611
07/06/23, 30.30, 30.30, 29.70, 29.90, 54330
07/05/23, 30.70, 32.50, 29.70, 30.00, 240915
07/04/23, 30.00, 32.30, 29.90, 30.30, 83134
06/28/23, 30.90, 30.90, 29.10, 29.20, 3653
06/27/23, 30.00, 31.00, 28.00, 29.90, 135094
06/26/23, 27.10, 31.00, 27.10, 30.00, 109987
06/23/23, 28.00, 29.10, 28.00, 29.00, 98630
06/22/23, 26.70, 28.00, 26.70, 27.40, 58304
06/21/23, 25.80, 26.70, 25.50, 26.50, 20518
06/20/23, 25.70, 26.00, 25.70, 25.90, 1530
06/19/23, 25.50, 25.50, 25.00, 25.10, 6490
06/16/23, 25.70, 26.00, 25.50, 25.50, 4870
06/15/23, 25.50, 26.90, 25.50, 25.50, 40566
06/14/23, 25.50, 25.90, 25.30, 25.50, 12023
06/13/23, 25.00, 25.50, 25.00, 25.30, 2066
06/12/23, 24.50, 25.00, 24.10, 24.80, 2856
06/09/23, 23.70, 24.60, 23.70, 24.00, 2224
06/08/23, 23.20, 23.60, 23.20, 23.30, 1080
