Date, Open, High, Low, Close, Volume
05/03/24, 53.50, 53.90, 52.80, 53.20, 13336
05/02/24, 53.90, 53.90, 53.10, 53.10, 41658
04/30/24, 54.00, 54.00, 52.00, 53.60, 82761
04/29/24, 52.00, 54.00, 51.50, 54.00, 157708
04/26/24, 51.60, 52.80, 51.60, 51.90, 85976
04/25/24, 49.90, 52.00, 49.80, 51.50, 13325
04/24/24, 49.70, 50.40, 49.50, 50.00, 32715
04/22/24, 50.00, 50.50, 49.10, 49.90, 27103
04/19/24, 49.80, 50.10, 49.10, 49.90, 92385
04/18/24, 50.30, 50.90, 49.00, 50.00, 43575
04/17/24, 50.00, 51.50, 49.30, 50.30, 126282
04/16/24, 52.00, 52.00, 50.30, 51.00, 105017
04/15/24, 54.00, 54.00, 51.90, 52.10, 64942
04/10/24, 53.00, 54.40, 53.00, 54.10, 297056
04/09/24, 52.00, 53.10, 50.40, 53.00, 97366
04/08/24, 51.80, 53.50, 51.80, 52.50, 185693
04/05/24, 51.00, 51.80, 48.00, 51.00, 96894
04/04/24, 47.90, 51.00, 47.60, 49.50, 1322347
04/03/24, 47.00, 47.90, 46.50, 47.50, 30530
04/02/24, 46.50, 47.80, 46.50, 47.10, 48279
04/01/24, 46.10, 47.50, 45.50, 47.40, 52006
03/28/24, 46.66, 46.66, 45.69, 45.69, 71726.2115902853
03/27/24, 45.30, 46.66, 45.30, 46.56, 145501.62594415
03/26/24, 44.72, 46.17, 44.72, 45.69, 68062.9530355121
03/25/24, 43.26, 45.20, 43.26, 44.42, 118970.005223523
03/22/24, 43.26, 43.94, 42.97, 43.16, 27260.9805395927
03/21/24, 43.26, 43.26, 43.06, 43.16, 277.753386629812
03/20/24, 43.45, 43.74, 42.97, 43.65, 2423.65547740681
03/19/24, 43.06, 43.65, 43.06, 43.45, 7518.88704769369
03/18/24, 43.06, 44.23, 42.97, 43.06, 1461.80578667023
03/15/24, 43.74, 44.33, 43.65, 43.65, 9824.24015672114
03/14/24, 43.16, 44.13, 42.77, 43.65, 44017.7394833446
03/13/24, 42.87, 44.23, 42.87, 43.36, 5315.37684709718
03/12/24, 44.42, 44.42, 42.87, 43.45, 1179.93753505331
03/11/24, 43.16, 44.72, 43.16, 44.33, 3637.54064860376
03/07/24, 45.20, 45.20, 42.09, 42.67, 2612.93926681379
03/06/24, 43.16, 45.69, 42.77, 42.77, 176631.608287872
03/05/24, 43.16, 43.16, 42.77, 42.77, 76313.2573346643
03/04/24, 41.51, 43.26, 41.51, 42.19, 26340.2794987272
03/01/24, 42.29, 42.48, 41.70, 41.80, 3663.25855477319
02/29/24, 42.19, 42.38, 41.70, 42.29, 8962.17594192194
02/28/24, 42.09, 42.48, 41.80, 41.99, 3442.08456171612
02/27/24, 42.48, 42.48, 41.80, 42.38, 1746.76018702749
02/26/24, 42.29, 42.67, 41.99, 42.29, 5162.0981263274
