Date, Open, High, Low, Close, Volume
05/03/24, 80.60, 81.00, 80.10, 80.50, 249620
05/02/24, 81.00, 81.50, 80.20, 80.60, 285101
04/30/24, 82.10, 82.30, 80.50, 81.40, 332003
04/29/24, 80.00, 82.70, 79.40, 82.10, 2690746
04/26/24, 80.20, 81.00, 79.60, 80.00, 1570753
04/25/24, 77.00, 80.40, 77.00, 80.00, 708709
04/24/24, 77.90, 78.50, 76.90, 77.20, 723220
04/22/24, 77.50, 78.80, 77.30, 77.80, 198549
04/19/24, 77.40, 77.80, 76.20, 77.50, 565224
04/18/24, 79.50, 79.50, 77.30, 77.40, 826619
04/17/24, 79.00, 79.60, 77.00, 79.00, 848139
04/16/24, 81.40, 81.40, 78.80, 79.10, 488452
04/15/24, 81.00, 82.00, 80.00, 81.40, 613442
04/10/24, 80.20, 81.70, 80.20, 81.00, 1771430
04/09/24, 81.00, 81.40, 79.70, 80.50, 1022221
04/08/24, 78.50, 81.70, 78.50, 80.90, 8346450
04/05/24, 79.00, 79.00, 77.70, 78.00, 3546952
04/04/24, 78.50, 79.90, 78.10, 78.70, 5100767
04/03/24, 78.50, 78.50, 77.80, 78.30, 1243288
04/02/24, 77.80, 79.40, 77.80, 78.40, 935395
04/01/24, 75.50, 78.50, 75.20, 77.90, 2410914
03/28/24, 80.00, 80.90, 79.80, 80.00, 2881929
03/27/24, 79.10, 80.00, 79.00, 79.90, 1000299
03/26/24, 77.70, 78.90, 77.70, 78.80, 9029310
03/25/24, 77.00, 77.90, 77.00, 77.70, 943982
03/22/24, 78.00, 78.00, 76.00, 77.10, 1489339
03/21/24, 77.90, 78.20, 77.50, 77.60, 264169
03/20/24, 77.80, 78.10, 77.50, 78.00, 1578606
03/19/24, 77.50, 78.00, 77.20, 77.90, 381958
03/18/24, 78.00, 78.10, 76.50, 77.50, 499248
03/15/24, 78.00, 78.40, 77.80, 78.00, 894296
03/14/24, 77.00, 78.50, 77.00, 77.90, 1054017
03/13/24, 76.00, 77.70, 76.00, 77.00, 926266
03/12/24, 74.60, 76.10, 74.60, 76.00, 444734
03/11/24, 74.10, 75.00, 74.10, 74.90, 447460
03/07/24, 73.00, 74.10, 72.80, 73.70, 629293
03/06/24, 73.00, 73.00, 72.70, 72.80, 97881
03/05/24, 73.00, 73.00, 72.60, 72.80, 164463
03/04/24, 73.40, 73.40, 72.50, 73.00, 458874
03/01/24, 73.50, 73.50, 72.60, 72.90, 263248
02/29/24, 73.50, 73.80, 73.00, 73.20, 165369
02/28/24, 73.70, 74.00, 73.30, 73.50, 543407
02/27/24, 73.00, 73.70, 73.00, 73.50, 330697
02/26/24, 72.50, 73.30, 72.50, 73.20, 324286
02/22/24, 72.70, 72.90, 72.40, 72.40, 369276
02/21/24, 72.80, 73.00, 72.50, 72.80, 304571
02/20/24, 73.00, 73.10, 72.80, 72.80, 243706
